MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
6.7,10.7,39,76,31,39,77,59,1008.6,1010.1,7.9,9.7,1,1
1.7,15.4,0,24,9,7,76,53,1025.6,1023.2,9.4,13.8,0,0
7.7,17,0,22,2,9,87,61,1021.8,1017.2,10.1,14.9,0,1
6.3,14.4,0,43,22,22,56,45,1013.8,1014.7,8.6,12.6,0,0
14.9,24.8,0,43,9,26,84,37,1016.9,1013.4,16.4,23.9,0,0
15.6,25,0,44,22,24,61,54,1017.9,1015.8,21,23.9,0,0
14.9,32.4,0,74,13,46,29,18,1005.5,998.6,24.2,31.3,0,1
8.2,22.8,4.2,44,24,24,49,33,1015.9,1015.5,13.2,21,1,0
4.7,13.4,22.4,52,10,28,73,42,1018,1018.5,12,12.5,1,0
5.9,12.1,0.2,48,22,24,77,45,1013.4,1009.7,8.1,10,0,0
0.9,15.3,0,46,20,26,72,60,1016,1013.3,9.5,11.7,0,0
14.7,34.2,0,33,6,11,64,25,1017.8,1013.3,21.3,32.2,0,0
7,21.9,0,26,4,9,72,69,1024.5,1022.9,16.3,18.8,0,1
10.6,26.1,0.2,44,17,20,57,32,1015,1013.4,17.1,25.1,0,0
-5.3,8.9,0,48,0,31,86,50,1023.1,1018.7,0.1,7.4,0,0
14.1,19.2,10.8,44,9,20,91,75,1016.6,1014.9,15.5,18.2,1,1
14,17.1,13.4,37,9,19,94,83,1016.9,1014.9,15.1,16,1,1
10.4,34.4,0,44,4,20,50,13,1011.9,1008.6,19.9,33,0,0
1.4,20,0,31,7,17,63,43,1025.5,1020.2,11.3,18.8,0,0
-3.7,14.7,0,43,9,22,53,25,1025.8,1020.9,5.5,13.4,0,0
1.7,11.4,0,17,9,11,80,62,1032.8,1029.2,7.1,10.8,0,0
9.3,27.2,0,52,6,33,74,21,1015.8,1010.7,14.2,26,0,0
2.5,27.2,0,37,0,28,67,27,1021.9,1017.3,13.6,26.6,0,0
7.8,28.7,0,41,6,24,74,36,1017.4,1013.2,16.4,27.8,0,0
5.3,19.4,0.2,41,19,28,72,54,1012.7,1008.4,12.3,19,0,1
5.5,13.5,0.4,33,6,17,85,68,1029.8,1030.2,9.9,12,0,0
-0.3,14.2,0,43,13,28,67,50,1019,1015.5,9.2,13.7,0,0
14.9,28.8,0,30,7,11,71,44,1018.2,1014.5,19.1,27,0,0
3.3,25.5,0,43,4,19,57,16,1018.8,1014.6,12,24.8,0,0
13.6,33.6,0,35,4,11,60,24,1016.8,1012.9,22.6,31.2,0,0
15.4,32.3,1,48,9,20,48,29,1010,1006.4,23.7,31.4,0,0
14,24.9,0.2,46,9,24,58,40,1023,1019.5,15.5,24,0,0
6.8,14.9,0.2,74,50,31,52,42,1017.5,1017.3,9.8,12.9,0,0
-3.6,15,0,35,2,19,73,47,1028.7,1022.6,1.9,14.4,0,0
12.3,20.1,5.8,19,9,15,94,85,1012.9,1007.8,13.6,17.2,1,1
1.7,12.5,0,44,20,30,71,56,1022.8,1021.6,9,11.8,0,0
16.5,26.7,0,50,11,19,75,37,1011.5,1008.7,17.7,26.4,0,0
15.6,26.9,0,41,6,22,65,48,1019.7,1016.5,19.8,25.1,0,0
16.5,37.7,9,40,4,11,46,20,1019.9,1017,24.9,35.9,1,0
16.1,36,0,57,13,31,53,28,1008.4,1005.2,27.6,35,0,0
6,13.8,0,19,0,9,97,71,1026.6,1025.4,8.5,13.5,0,0
10,28.8,0,24,4,9,85,46,1021.2,1017.4,16.3,26,0,0
16.7,25.6,2,39,9,19,97,50,1018,1014.9,17.2,23.2,1,1
7.2,18.2,15.2,50,9,19,85,54,1014.4,1011.4,11.2,17.5,1,0
10.2,18.4,0,59,35,43,70,63,1018.9,1015.2,13.2,16.5,0,0
1.4,17.4,0,28,9,13,81,65,1021.5,1015.6,9.4,15.1,0,0
6.8,23.1,0,43,2,26,72,38,1023.6,1019.9,13,21.7,0,0
11.6,31.4,0,39,7,11,67,26,1019.1,1016.3,19.3,30.6,0,0
8.9,28.7,0,43,20,24,36,26,1010.8,1010.5,20.7,27.2,0,0
6.3,9.5,31.8,52,28,26,74,72,1009.5,1009.9,6.5,8.3,1,1
-2.5,14.4,0,24,2,9,90,47,1025.5,1022.4,3.1,13.6,0,0
4,16.1,0,44,20,26,68,45,1020.3,1016.4,9.2,15.7,0,0
12.2,24.5,0,41,19,26,56,33,1011.4,1011.9,17.1,23.8,0,0
12.7,24.8,0,39,6,9,73,76,1009.8,1003.2,19.2,22.7,0,1
6.2,11.9,1.4,59,11,35,83,50,1011.2,1010.6,9.1,10.6,1,0
-1.9,7.3,0,15,6,6,99,83,1030.7,1028.3,2.8,6.5,0,0
6.9,18.9,0,39,15,9,68,45,1028.2,1025.4,13.8,17.8,0,0
11.2,23.8,0,54,7,26,55,35,1010.6,1007.5,16,20.3,0,1
9.2,30.2,0,37,11,15,57,16,1022,1017.7,16.2,27,0,0
20.3,32.8,2.2,50,7,30,83,53,1004.5,1001.6,22.8,30.2,1,1
10.5,32.7,0,56,4,31,81,16,1009.8,1005.3,16,31.4,0,1
13.2,29.1,0,40,10,19,69,42,1018,1016,20.4,27.6,0,0
11.5,22.1,35,28,6,11,76,48,1021.8,1018.1,14.1,20.8,1,0
8,24.3,0,30,6,20,68,29,1019.7,1015,14.4,23.6,0,1
2.1,14.4,0,22,6,11,87,64,1033.7,1029.6,8.1,13.8,0,0
7.9,28.6,0,54,11,28,62,29,1007.6,1008.1,17.8,24.6,0,1
9.8,25.3,0,37,20,11,67,44,1019.8,1016.4,17.2,23,0,0
14.8,27.3,0,43,9,9,71,39,1019.9,1016.5,18.4,25.8,0,1
3.2,21.1,0,31,6,13,81,45,1030.1,1024.4,10.9,20.5,0,0
14.3,35.5,0.2,50,2,13,64,22,1021,1017.7,19.7,34.1,0,0
18.9,25.7,2.6,30,7,4,87,86,1012.1,1010,20,23.6,1,1
2.5,12.1,0,54,28,30,75,54,1013,1010.1,8.4,10.3,0,1
2.1,13.7,2.2,40,10,19,75,55,1018,1016,9.7,12.3,1,0
-3.2,16.4,0,31,13,19,69,39,1031.3,1029.2,8.2,15.9,0,0
8.2,18.6,0,31,20,13,67,46,1019.7,1017.6,12.3,17.3,0,0
0.2,20.3,0,22,9,7,65,29,1022.6,1019.9,11.1,19.6,0,0
-0.1,18.4,0,26,4,13,92,45,1032.4,1028.1,7.9,18.4,0,0
-1,17.7,0,17,6,6,68,33,1028.5,1024.4,9.2,16.9,0,0
15.8,31.5,0,40,10,19,65,42,1018,1016,21.8,29.5,0,1
12.5,32.3,0,50,2,13,69,7,1016.3,1011.9,16.5,30.1,0,0
10.3,30.4,0,39,6,19,69,29,1018.5,1014.8,19.8,29.3,0,0
13,27.8,0,37,11,22,64,20,1020.7,1016.2,16.4,25.8,0,0
1.9,12,5,40,10,19,95,93,1018,1016,8.8,10,1,1
13.1,21.5,17.8,44,7,6,78,42,1018.5,1018.4,13.3,19.7,1,0
14.4,25.1,16.8,37,6,15,78,47,1017.6,1013.7,16,23.5,1,0
