MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
20.6,25.3,11.2,63,31,52,87,94,1020,1018.9,21.8,22.3,1,1
16.5,26.5,0,30,13,19,60,58,1019.8,1018.1,24.2,25.3,0,0
13.2,23.5,0,35,11,28,56,59,1029.3,1025.4,20.9,22.3,0,0
12.9,22.3,0,37,11,17,46,19,1013.2,1010.4,18.7,21.6,0,0
14.9,23.3,0,22,9,13,65,58,1014.4,1012.1,20.6,22.6,0,0
13.1,18.1,0,59,9,24,75,86,1019.5,1017.7,15.9,15,0,1
17,26.3,0,44,26,28,54,52,1015.9,1011.1,21.3,25,0,1
21,29.1,0,57,33,43,59,60,1018,1016.2,26.7,26.4,0,0
13.9,21.2,0.2,33,4,26,81,69,1030,1026.7,16.4,19.2,0,0
23,31.4,2,44,13,35,49,75,1006.1,1001.5,30.8,27.7,1,0
21.9,26,6,52,28,30,81,81,1019.8,1018.2,24.9,24.6,1,1
17.4,29.6,0,33,11,26,56,53,1014.8,1012.3,25.5,28.5,0,0
10.6,18.5,0,44,11,20,59,62,1019.8,1016.9,15.9,16.9,0,1
13.9,24.9,0,56,15,31,50,48,1019.8,1017.6,21.1,24,0,0
14.6,19.9,10.2,39,11,15,99,69,1016.3,1013.3,15.8,17.9,1,1
18.7,27.8,0,30,7,19,69,60,1021.2,1017.9,22.9,25.5,0,0
15.7,24.1,0,61,37,48,59,53,1029,1026.2,20,21.4,0,0
9.4,24.9,0,33,7,26,71,48,1018.5,1014.6,16.3,22.6,0,0
11.6,19.8,0.2,41,17,28,54,47,1022.2,1019.8,15.9,18.5,0,0
17.7,27.2,0,46,26,37,56,65,1019,1015.2,24.4,24.5,0,0
20.6,25.5,2.8,65,39,50,73,69,1013.9,1011.7,23.4,23.3,1,0
17.8,24.9,3,61,31,43,71,71,1018.1,1016.8,23.5,22.3,1,0
16.4,26,0,28,11,17,66,60,1022.7,1020.1,23.9,24.3,0,0
13.2,22,0,33,19,19,57,54,1027.2,1023.3,19.7,20.7,0,0
10,23.1,0,28,13,13,59,32,1023.2,1019.6,16.6,22.5,0,0
21.3,28.3,0,39,9,15,69,83,1009.6,1008,26.3,25.8,0,1
11.5,20.4,0.2,41,22,22,50,40,1010.9,1010.1,15.8,19.8,0,0
18.7,27.9,0,35,19,28,60,64,1015.1,1013,23.9,25.3,0,0
15.8,26.2,0,28,17,20,63,61,1017.8,1014.9,22.9,24.5,0,0
21.8,29.5,0.2,37,22,26,68,68,1017.9,1015.2,27.2,27.8,0,0
19.5,23.3,0.4,31,19,20,80,99,1013.9,1012.3,22.8,21.5,0,1
20.1,25.2,25,24,11,9,100,86,1014.6,1011.3,21.8,24.6,1,1
19.2,27.2,0,39,19,31,51,61,1019.1,1015.9,26.7,25.6,0,0
11,20.5,0,31,15,17,35,29,1018.8,1015.9,14.9,19.4,0,0
21.8,26.8,3.8,63,41,41,76,82,1016.4,1014.8,25.2,23.9,1,0
13,22.5,0,33,11,28,70,66,1026.7,1023.7,18.4,21.5,0,0
13.6,23.4,0,46,28,35,55,57,1028.5,1026.1,19.7,20.9,0,0
