MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
10.3,18.9,0.2,56,7,28,40,36,1023.3,1022.9,14.9,18.7,0,0
4.2,15,0,22,11,7,70,59,1023.2,1020.4,9.4,13.1,0,0
11.4,21,0,43,28,17,55,41,1013.9,1012.7,13.9,19.8,0,0
11,17.2,8.2,44,13,19,61,44,1016.1,1016.2,12.1,15.6,1,0
9.7,18.6,0,63,24,26,51,43,1011.4,1006.8,13.2,16.9,0,1
9.5,22.6,4,44,20,26,60,41,1012.7,1012,17.3,21.4,1,0
7.4,14.8,0,69,33,22,51,42,1020.8,1019.5,11.1,14.7,0,0
6.1,13.4,2.2,52,26,20,70,45,1006.7,1010.6,11.5,11,1,0
6.3,13.2,0,26,11,15,81,70,1017.1,1016.2,8.3,12.8,0,1
6.5,16.2,0,61,17,30,65,35,1010.7,1004.6,9.2,15.2,0,1
7.9,11.2,2.6,31,19,13,83,70,1037.4,1037.2,8.8,10.4,1,0
6.1,11.6,1.8,59,7,22,73,38,1018.4,1019.8,7.8,9.4,1,0
1.4,11.9,0,43,2,15,79,53,1026.1,1022.5,2.6,11.8,0,0
8,12.5,0,44,17,9,68,70,1024.5,1026.4,9.3,10.3,0,1
2.3,12.2,1.2,50,9,17,71,41,1015.8,1013.5,5.5,11.7,1,0
3.4,11.4,0.2,85,17,13,62,45,1004.5,1007.3,6.1,10.8,0,0
16,25.1,3.6,54,15,19,86,81,1002.4,995.7,19.9,23.6,1,1
4.9,16.5,2.8,56,17,22,46,35,1019.5,1016.4,10.1,15.6,1,0
12.9,32.5,0,61,6,37,33,17,1011.3,1006.2,21.4,31.9,0,0
7.4,16.6,0.8,56,26,31,44,36,1010,1010.7,13.2,15.9,0,0
3,13.8,0,37,17,13,59,46,1014.2,1012.9,9,12.3,0,0
8,15.2,4.4,35,6,6,81,48,1014.1,1013.9,10.7,14.4,1,0
5.1,19.6,0.2,31,19,13,62,37,1033.8,1029,10.4,18.6,0,0
3.2,15.9,1.6,37,13,17,59,71,1020.9,1018.6,10.4,12.4,1,1
7.4,13.4,1.8,48,11,17,71,62,1001.2,997.1,11.6,12.8,1,0
10.9,21.3,0,46,15,22,65,41,1018.2,1013.3,14.6,20.1,0,0
11.4,17.2,0,48,15,26,66,37,1020.5,1020.7,13.3,16,0,0
10,12.3,3.2,30,0,9,97,92,1015.8,1012.5,10.5,12.3,1,1
16.7,21,0,31,2,7,84,87,1018.3,1016.4,19.6,18.7,0,0
7.2,22.3,0,20,13,9,72,53,1026.5,1023.8,11.5,19,0,0
13,20.9,1.4,56,22,24,53,33,994.7,996.1,14.5,19.3,1,0
17.5,24.3,1.2,61,28,30,78,31,1002.9,1006,17.6,23.4,1,0
6.2,17.2,4,65,24,33,66,42,1012.9,1007.4,8.8,15.7,1,1
10,21.1,0,28,13,15,71,53,1023,1018,13.4,18.2,0,0
6,16.2,0,46,13,20,68,42,1020.9,1016.1,9.5,15.7,0,0
5.8,18.2,0,37,6,19,58,47,1025.7,1025.3,13.2,17.4,0,0
16.7,17.4,0,59,11,24,61,51,1017.6,1020.3,17.2,14.9,0,0
12,15.1,12.8,72,24,39,59,58,982.2,991.4,14.5,10.7,1,1
7.7,14.3,0.2,59,24,24,67,52,1013.8,1013.3,11.2,13.8,0,0
3.3,11.9,0,43,19,13,58,55,1016.7,1016.1,6.6,10.9,0,0
10.4,16.8,33,74,9,22,84,87,1002.8,1006.1,13.1,14.3,1,1
14.4,20.6,0.6,50,2,13,85,64,1016.2,1014.2,15.4,19.3,0,0
9.9,18.4,0,37,11,24,74,81,1024.2,1023.5,14,14.4,0,0
12.1,22.2,0,39,9,28,62,59,1021.5,1020.2,17.8,19.7,0,0
5.5,11.2,2.2,35,13,13,78,69,1024.1,1023.2,7.6,10.6,1,0
6.7,13.3,0.2,67,22,17,61,45,1001.1,1003.3,9.1,12.8,0,1
3.7,17.2,0,57,19,26,75,41,1014.2,1006.7,7.5,16.2,0,1
9.8,14.6,0.8,52,28,17,58,58,1015.7,1016.1,12.5,12.9,0,0
12.1,18.6,0,30,2,17,67,46,1021.9,1020.6,15.6,18.2,0,0
9.1,19.9,4,104,52,48,43,32,988.8,992.5,14.4,17.5,1,0
8.9,23.9,0.2,43,15,9,48,30,1014.2,1014,12.9,17.9,0,0
9.7,20.9,0,48,30,20,54,41,1026.2,1020,12.2,20.4,0,0
13.5,19,0,31,13,19,78,65,1027.8,1025,15.7,18.3,0,1
13.7,30.3,0,30,7,17,59,34,1014.5,1009.8,20.6,29.3,0,0
13.4,28.1,0,30,19,15,64,31,1009.5,1001.4,14.9,27.5,0,0
3.2,12.5,0,22,13,11,71,47,1024.9,1023,6.3,11.2,0,0
5.6,17.3,9.2,52,22,20,49,40,1024,1024.5,10.9,16.6,1,0
7.2,13.7,3,81,37,35,57,61,987.1,984.2,13.7,12.8,1,1
