MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
16.4,23,10.2,41,13,22,83,61,1008.1,1006.5,18.7,21.7,1,1
16.3,37.2,0,56,22,30,23,14,1011.7,1008.1,30.5,36,0,0
15.3,30.4,0,37,17,15,48,24,1019.7,1016.9,19.7,28.3,0,0
8,13.4,2,85,33,26,89,73,1013.2,1006.4,9.7,12.5,1,1
6.2,25.4,0,39,17,9,61,30,1017.4,1013.7,14.7,24.2,0,0
6.8,13,0.4,48,24,24,91,96,1018.4,1017.3,10.9,10.9,0,1
16.5,27,1.3,26,11,2,93,86,1012.3,1011.4,16.6,21.2,1,1
14.6,29.2,0,37,15,20,46,27,1030.1,1026.7,19.6,28,0,0
9,13.3,0.6,26,13,11,57,50,1028.3,1026.4,9.5,12,0,0
14,28,0,44,7,22,77,42,1011.4,1009.2,20.1,27,0,0
11.6,17.3,0.4,52,24,17,94,67,1021.1,1020.9,12.7,15.8,0,0
8.3,13.4,0.8,31,7,19,99,86,1015.8,1014.9,9.4,12.3,0,1
5.9,11.8,14.6,30,9,11,100,71,1020.7,1020.4,6.8,10.2,1,0
0.9,11.5,0,17,6,9,94,59,1025.3,1022.3,5.8,10.9,0,0
16.4,38.4,0,41,20,13,15,3,1014.8,1010.2,27.1,36.8,0,0
13.7,22.7,0,43,6,26,69,42,1013.3,1011.4,18.4,21.7,0,0
17,33.3,2,41,11,11,78,23,1014.5,1011.9,19.8,32.2,1,0
14.5,32,0,43,24,9,30,14,1016.8,1014.1,22.3,30.3,0,0
5.8,11.2,0,35,13,19,86,57,1034,1029.4,6.8,10.4,0,0
12.3,38,0,48,9,24,17,5,1012.4,1008.7,28.1,37.2,0,0
8.2,15.2,0,63,26,35,87,68,1011.3,1010,10.3,13.6,0,0
7.2,16.2,3.8,59,31,28,83,42,1016.1,1019.1,8.6,14,1,0
7.4,18.1,0,35,17,15,61,44,1025.7,1026.1,12.2,17.4,0,0
6.1,13.6,3,30,2,13,90,65,1027.3,1026.5,10,13.3,1,0
-1.3,12.3,0,24,7,9,70,34,1033.3,1030.6,6,11.7,0,0
11.7,26.5,0,41,20,13,56,29,1020.4,1017.3,16.2,24.7,0,0
15.3,20,0,44,22,22,100,45,1018.6,1020.3,17.4,18.7,0,0
14.1,30.7,0,37,11,15,54,30,1010.9,1007.3,19.5,29.6,0,0
7.2,25.6,0,39,19,15,60,16,1026.1,1022,15.8,23.5,0,0
5.1,15.2,0,26,6,15,71,62,1030.7,1026.7,9.7,13.4,0,0
1.1,11.8,1,30,2,19,91,54,1027.8,1026.1,6.4,11.6,0,0
15.6,20.3,24.4,44,15,24,87,66,1013,1013.6,17.3,19.7,1,0
10.9,25.6,0,44,17,24,46,19,1025.3,1021.5,15.2,24.4,0,0
7.2,23,0,24,7,13,76,49,1013.8,1009.6,14.1,20.9,0,0
10.9,18.6,3.6,65,26,37,83,57,1014.3,1014.5,13.3,17,1,0
8.4,16,2,33,9,17,96,70,1019.9,1019.5,11.4,14.7,1,0
7.6,14,4,72,35,31,96,64,1007.6,1012.7,10.4,13,1,1
17.7,30.9,2,48,15,11,66,37,1007.5,1002.7,23.4,29.6,1,1
8.2,15.7,0.2,39,19,20,80,58,1022.3,1021.7,13.4,13.5,0,0
18.2,35,0,44,9,11,34,18,1008,1005.5,26.4,32.5,0,0
4.4,12.9,0,33,4,17,88,67,1030.8,1029.3,9.1,11.4,0,0
14.2,24.1,0,37,13,17,61,32,1022.7,1020,17.6,23.9,0,0
15,37.7,0,52,28,20,25,12,1011.8,1009.1,29.5,35.4,0,1
10.9,26,0.2,28,17,11,71,24,1024.8,1022.1,13.8,24.3,0,0
19.7,40.4,0,52,20,24,14,9,1011.1,1008.8,34,37.8,0,0
-1.7,17.6,0,30,6,15,64,26,1019.5,1016.5,6.7,15.9,0,0
2.9,20,0,28,9,11,62,42,1028.2,1024.1,12.6,18.9,0,0
15.4,35,0,44,13,30,27,21,1008.2,1008.7,28.4,31.3,0,0
7,22.5,0,37,19,11,49,26,1024.4,1021.8,12.5,21.3,0,0
12.5,33.1,0,39,7,22,34,9,1015.6,1014.3,23.3,32.2,0,0
8,27.7,0,46,11,24,43,12,1023.5,1019.6,16.9,26.7,0,0
9.4,19.7,0,41,11,19,68,42,1017.5,1015.7,14.1,18.4,0,0
