MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
14,24,0.8,20,11,7,60,51,1013.6,1010.7,18.6,23.3,0,1
13,28.3,0,43,17,15,46,28,1012.6,1007.4,20,27.4,0,0
13.6,31.4,0,33,7,17,47,44,1011.6,1008.1,23.5,26.8,0,0
21.5,39.8,0,37,17,9,29,16,1011.4,1008.1,29,37.8,0,0
17.7,34.5,0,39,11,11,44,19,1012.9,1009.5,24.2,34,0,0
15.9,23.1,2.6,37,13,17,73,53,1004,1004.6,19.8,22.6,1,0
19.8,39.5,0,44,22,11,35,16,1016.4,1012.1,26.1,38.3,0,0
13.7,24.3,0,37,9,17,58,43,1016.4,1013.9,19.9,22.6,0,0
19.8,32.6,1.6,31,11,13,49,45,1015,1013.8,28.5,30.2,1,0
9.5,19.2,1.8,26,11,6,93,73,1019.3,1018.4,13.2,17.7,1,1
10,22.9,0,33,9,19,71,49,1025.1,1022.3,16.1,21.2,0,0
6.7,19.2,0,28,6,13,85,52,1023.4,1022.2,11.3,18,0,0
12.5,22.4,0,20,6,9,87,60,1017.5,1014.2,15.8,21.2,0,0
16.7,34.2,0,35,9,17,28,24,1005.3,1000.2,26.4,33.2,0,0
17.3,23.5,5.2,30,11,13,53,59,1013.5,1013.2,19.2,20.8,1,0
13.1,19.9,3,39,2,13,90,55,1018.1,1018.2,15.4,19.1,1,0
11.5,28.4,0,20,4,11,63,38,1021.7,1017.2,18.6,26.2,0,0
4.7,20.8,0,33,9,15,65,47,1019.8,1015.3,10.8,20.1,0,0
17.2,27.9,0,35,9,20,52,50,1014.8,1013.8,23.4,25.7,0,0
15.2,23.1,0,35,17,20,44,56,1015.6,1014.8,19.6,19.6,0,0
19.6,32.3,0,31,7,15,55,44,1009.8,1007.1,25.3,30,0,0
9.1,18.9,8.4,52,6,30,92,58,1014.3,1014.6,12.3,16.9,1,1
16.9,33.8,0,44,19,11,46,27,1015.8,1011.2,22.1,32.2,0,0
6.3,20.9,0,22,7,11,84,51,1022.6,1020.6,12.1,20.5,0,0
15.6,31.5,0,35,9,17,55,29,1019.5,1016.7,22.4,30.5,0,0
11.9,30.2,0,28,7,11,44,32,1017.6,1013.9,21,27.3,0,0
11.2,18.7,5.6,35,6,11,98,89,1020.1,1017.8,14.2,17.5,1,1
6,20.8,0.2,33,0,19,61,45,1024.9,1022.4,13.8,20.2,0,0
22.6,43.3,0,33,13,11,34,12,1015.7,1010.4,30.7,42.5,0,0
17.3,32.6,0,43,11,20,42,40,1010.3,1006.3,25.5,30.2,0,0
15.9,33.8,0,20,0,11,50,41,1016.3,1014,25.2,31,0,0
14.7,18.7,51.2,28,11,13,95,68,1016.1,1015.7,15.3,18.2,1,1
6.4,26.4,0,24,7,11,56,29,1018.2,1014.9,16.1,23.5,0,0
18.3,30.8,0,35,11,13,52,35,1021.4,1017.1,22.5,29.4,0,0
9.3,22,0,31,6,13,67,66,1020.6,1018.6,18.2,19.9,0,0
16.1,32.6,0,41,17,13,50,24,1018.3,1015.2,22.6,32.1,0,0
10.3,21.6,0.2,22,4,0,93,67,1023.2,1020.9,14.7,19.9,0,0
8.7,22.4,0,26,11,7,59,32,1036.7,1031.8,14.1,21.3,0,0
12.6,22.3,2.2,35,13,17,52,39,1023.2,1022.5,19.2,21.2,1,0
15.4,20.6,5.6,35,4,9,96,79,1019,1015.5,16.7,18.6,1,1
5.8,22.2,0,26,6,15,58,42,1020.2,1016.8,16.1,20.6,0,0
13.7,26.5,0,35,13,22,41,41,1023.8,1020.6,19.3,24.3,0,0
18.5,36.4,0,24,7,13,57,39,1014.7,1012.5,25.5,30.8,0,0
12.3,20.5,0,30,9,15,82,64,1021.3,1018.8,16,17.7,0,0
16.5,31.9,0,26,13,9,26,21,1021.4,1020,25.9,29.8,0,0
19.2,41.2,0,28,9,13,19,12,1014.8,1012.3,33.4,39.8,0,0
12.8,19.8,2.2,33,0,13,72,63,1017.3,1019.3,16.9,18.3,1,0
15.1,29.3,0,43,15,22,54,45,1016,1012.3,20.2,25.5,0,0
3.2,22.1,0,26,7,13,66,37,1020.4,1017,10.2,20.7,0,1
13.5,21.9,3.4,52,13,28,70,65,1010.1,1007,17.6,20.7,1,1
6.3,22.2,0,30,7,11,71,51,1012.7,1007.4,12.7,19.6,0,1
6.7,22,0,24,7,9,67,45,1025.6,1021.3,14.1,21.8,0,0
21.3,36.2,0,35,13,7,56,29,1015.9,1012,25.4,34.9,0,0
20.6,34.5,0,43,9,19,45,38,1021.4,1018.4,25.6,32.1,0,0
20.4,34.9,0,41,17,15,49,32,1009.8,1007.1,24.9,33.4,0,0
12.1,24.5,0,31,15,15,59,30,1026.2,1021.9,16.5,23.4,0,0
14.3,22.1,11.6,50,19,20,74,64,1008,1007.2,18.9,21.5,1,1
17.1,35.5,0,31,15,11,49,29,1016.7,1012.3,22.9,34.3,0,0
3.5,23.5,0,17,4,2,57,28,1030.4,1027.7,12.8,22.7,0,0
18.5,32,0,31,13,11,59,34,1019.7,1016.6,23.8,31.2,0,0
7.4,20.4,0,19,6,9,85,63,1019.3,1017.4,11.6,19.3,0,0
12.7,17.6,10.4,56,20,19,72,77,1006.5,1005,14.2,13.3,1,1
11.3,20.8,3,35,6,13,89,48,1016.5,1015.2,13.3,19.8,1,0
5.5,23,0,19,4,9,84,55,1023,1020.3,11.5,22,0,0
