MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
9.8,20.3,0,24,13,19,75,59,1031,1025.8,12.8,19.6,0,0
14.8,20.2,0.2,54,15,33,41,26,1010.3,1007.1,16.6,18.7,0,0
16.1,20.5,5,41,17,19,89,87,1024.6,1024.5,16.6,18.4,1,1
21,31,0,46,15,24,51,54,1014.8,1012.1,26.6,26.2,0,0
8.9,17.7,0,33,19,7,69,42,1019.3,1019.3,10.2,16.8,0,0
10.9,21,0.2,41,19,7,87,58,1032,1028.7,12.7,19.6,0,0
16.5,20.7,0,41,15,15,72,68,1013.4,1010,18.3,19.4,0,1
12.1,23.2,0,24,17,13,79,54,1030.7,1027.4,14.7,22,0,0
11,21.6,0,41,17,13,71,60,1020.9,1018.4,12.7,19.7,0,0
12.9,18.4,0,31,20,13,87,75,1016.6,1014.7,14.3,18.1,0,0
21.3,26.6,0,41,15,20,80,67,1017.5,1011.2,22.3,24.8,0,0
11.6,18.8,0.2,24,15,6,89,67,1029.6,1025.7,12.8,18.2,0,0
21.4,27.3,23.4,41,26,26,90,66,1014.9,1014.3,22,27.2,1,1
10.5,19.3,0,44,13,19,81,61,1025.7,1022.4,13.7,18.8,0,1
15.3,23.1,0,70,6,35,65,57,1012.9,1007.7,19.2,22.2,0,0
7.6,19.3,0,41,17,15,69,40,1022.8,1020.4,10.5,17.5,0,0
20.5,27.1,0,41,13,24,58,62,1014.6,1011.3,24.4,24.9,0,0
8.4,17.3,0,41,22,13,58,48,1023.7,1020.4,11.4,15.7,0,0
21.6,29.3,1,59,4,17,68,55,1013.2,1009.4,26.2,28.4,0,1
20,25,0,65,13,39,60,67,1007.9,999.6,22.1,24.3,0,0
9.3,19.5,0.4,44,15,11,78,36,1020.8,1018.4,11.3,19.4,0,0
17.4,22,0.2,52,15,20,63,81,1017.5,1016.8,18.6,18.1,0,1
11.8,23.3,0,44,22,20,49,27,1018,1013.2,14.9,22.9,0,0
14,21.2,0,31,9,15,61,78,1012.5,1007.5,16,16.8,0,1
20.5,23,15.8,69,7,24,88,92,1009.2,1008.1,22.7,21.6,1,1
